,result,table,_time,3FS_azimuth_Manual,CTRL_sta_command_Manual,3FS_z_voltage_Manual,3FS_x_voltage_Manual,CTRL_sta_equivalent_lacet_Manual,3FS_total_force_Manual,CTRL_sta_setpoint_elevation_Manual,CTRL_border_choquer_Manual,CTRL_zen_command_Manual,3FS_elevation_Manual,KITE_azimuth_b_Manual,CTRL_dyn_Gamma_Manual,3FS_y_force_Manual,KITE_azimuth_dot_wr_Manual,KITE_azimuth_h_Manual,CTRL_dyn_GammaRef_Manual,KITE_azimuth_mg_Manual,KITE_azimuth_wr_Manual,CTRL_dyn_command_Manual,3FS_y_voltage_Manual,KITE_elevation_b_Manual,3FS_x_force_Manual,KITE_elevation_dot_wr_Manual,CTRL_left_diff_Manual,KITE_elevation_wr_Manual,KITE_lacet_wr_Manual,CTRL_man_command_Manual,3FS_z_force_Manual,CTRL_right_diff_Manual
,,0,2023-06-07T10:30:20.469Z,-0.039156489074230194,400,1.3177410364151,1.653101921081543,-34,152,50,70,200,0.7287290096282959,-2.243501663208008,-2.280351161956787,-4,17.500904083251953,-2.270427703857422,-2.903637647628784,0,6.139326095581055,-12.816267013549805,1.5496482849121094,41.75309753417969,8,-17.878995895385742,-19,38.266326904296875,-130.6544952392578,0,-152,6
,,0,2023-06-07T10:30:20.484Z,-0.039156489074230194,400,1.3177410364151,1.653101921081543,-34,152,50,70,200,0.7287290096282959,-2.243501663208008,-2.280351161956787,-4,17.500904083251953,-2.270427703857422,-2.903637647628784,0,6.139326095581055,-12.816267013549805,1.5496482849121094,41.75309753417969,8,-17.878995895385742,-19,38.266326904296875,-130.6544952392578,0,-152,6
,,0,2023-06-07T10:30:20.508Z,-0.04594411328434944,400,1.3167598247528076,1.6538294553756714,-34,154,50,70,200,0.7200190424919128,-2.63240385055542,-2.3170297145843506,-5,6.6115217208862305,-2.655078172683716,-2.9124715328216553,0,5.750424385070801,-12.456937789916992,1.5492079257965088,41.254051208496094,10,-18.07541847229004,0,37.531524658203125,-132.7560272216797,0,-154,0
,,0,2023-06-07T10:30:20.56Z,-0.051641277968883514,,1.315766453742981,1.6546008586883545,,156,,,,0.7109547257423401,-2.958827257156372,,-6,0.7026757001876831,-2.977825164794922,,0,5.4240007400512695,,1.5488146543502808,40.73470687866211,11,-18.50080108642578,,36.765968322753906,-135.07960510253906,,-156,
,,0,2023-06-07T10:30:20.561Z,,400,,,-34,,50,70,200,,,-2.35758376121521,,,,-2.9208836555480957,,,-11.894913673400879,,,,,0,,,0,,0
,,0,2023-06-07T10:30:20.585Z,-0.051641277968883514,400,1.315766453742981,1.6546008586883545,-34,156,50,70,200,0.7109547257423401,-2.958827257156372,-2.35758376121521,-6,0.7026757001876831,-2.977825164794922,-2.9208836555480957,0,5.4240007400512695,-11.894913673400879,1.5488146543502808,40.73470687866211,11,-18.50080108642578,0,36.765968322753906,-135.07960510253906,0,-156,0
,,0,2023-06-07T10:30:20.596Z,-0.05632713437080383,400,1.3147130012512207,1.65545654296875,-34,158,50,70,200,0.7011927962303162,-3.227307081222534,-2.3760130405426025,-6,-2.263192653656006,-3.2426998615264893,-2.9288878440856934,0,5.155520915985107,-11.249926567077637,1.548464059829712,40.17538833618164,13,-19.332326889038086,0,35.94278335571289,-136.13551330566406,0,-158,0
,,0,2023-06-07T10:30:20.628Z,-0.0602530874311924,,1.3135287761688232,1.6563962697982788,,161,,,,0.6907779574394226,,,-7,,,,,,,1.548137903213501,,15,,,,,,-160,
,,0,2023-06-07T10:30:20.629Z,,400,,,-34,,50,70,200,,-3.4522476196289062,-2.4464111328125,,-3.607318878173828,-3.466200828552246,-2.9364938735961914,0,4.9305806159973145,-11.052282333374023,,39.57866287231445,,-19.810853958129883,138,35.121639251708984,-140.16903686523438,276.8361511230469,,-415
,,0,2023-06-07T10:30:20.697Z,-0.06428814679384232,,1.312235713005066,1.6574159860610962,,163,,,,0.6797840595245361,-3.6834394931793213,,-8,-4.476312160491943,-3.6977813243865967,,0,4.69938850402832,,1.5477831363677979,38.94875717163086,17,-20.962230682373047,,34.21406555175781,-140.68032836914062,,-162,
,,0,2023-06-07T10:30:20.698Z,,400,,,-34,,50,70,200,,,-2.4553349018096924,,,,-2.943709373474121,,,-9.770257949829102,,,,,227,,,454.80224609375,,-682
,,0,2023-06-07T10:30:20.709Z,-0.06428814679384232,400,1.312235713005066,1.6574159860610962,-34,163,50,70,200,0.6797840595245361,-3.6834394931793213,-2.4553349018096924,-8,-4.476312160491943,-3.6977813243865967,-2.943709373474121,0,4.69938850402832,-9.770257949829102,1.5477831363677979,38.94875717163086,17,-20.962230682373047,227,34.21406555175781,-140.68032836914062,454.80224609375,-162,-682
,,0,2023-06-07T10:30:20.722Z,-0.06840954720973969,,1.3106422424316406,1.6584808826446533,,166,,,,0.6689584255218506,,,-8,,,,,,,1.5473933219909668,,19,,,,,,-165,
,,0,2023-06-07T10:30:20.723Z,,400,,,-34,,50,70,200,,-3.9195783138275146,-2.4586827754974365,,-5.047175884246826,-3.9351062774658203,-2.9505434036254883,0,4.463249683380127,-9.76663589477539,,38.328495025634766,,-19.153989791870117,250,33.556400299072266,-140.8721466064453,500.282470703125,,-750
,,0,2023-06-07T10:30:20.751Z,-0.0730101615190506,400,1.3087091445922852,1.6596571207046509,-34,170,50,70,200,0.6577140688896179,-4.183174133300781,-2.4906718730926514,-9,-5.664263725280762,-4.200867176055908,-2.9570088386535645,0,4.199653625488281,-9.838955879211426,1.5469326972961426,37.684242248535156,21,-19.250293731689453,278,32.78061294555664,-142.70498657226562,557.6271362304688,-168,-836
,,0,2023-06-07T10:30:20.787Z,-0.0730101615190506,400,1.3087091445922852,1.6596571207046509,-34,170,50,70,200,0.6577140688896179,-4.183174133300781,-2.4906718730926514,-9,-5.664263725280762,-4.200867176055908,-2.9570088386535645,0,4.199653625488281,-9.838955879211426,1.5469326972961426,37.684242248535156,21,-19.250293731689453,278,32.78061294555664,-142.70498657226562,557.6271362304688,-168,-836
,,0,2023-06-07T10:30:20.806Z,-0.07860902696847916,400,1.3063451051712036,1.6609798669815063,-34,175,50,70,200,0.6459012031555176,-4.503965377807617,-2.502204656600952,-11,-6.606472015380859,-4.525330543518066,-2.963122606277466,0,3.8788623809814453,-9.313977241516113,1.5463497638702393,37.00741195678711,24,-19.639680862426758,278,31.971662521362305,-143.3657684326172,557.6271362304688,-173,-836
,,0,2023-06-07T10:30:20.828Z,-0.08500067889690399,400,1.303553819656372,1.662480115890503,-34,180,50,70,200,0.6333751678466797,-4.870180130004883,-2.504133701324463,-12,-7.626029968261719,-4.894071578979492,-2.9689059257507324,0,3.5126476287841797,-9.215649604797363,1.5456470251083374,36.28972625732422,27,-19.846233367919922,279,31.16541862487793,-143.47628784179688,559.6044921875,-178,-839
,,0,2023-06-07T10:30:20.869Z,-0.09148591756820679,,1.3004066944122314,1.664185643196106,,187,,,,0.6199918389320374,,,-13,,,,,,,1.544869303703308,,30,,,,,,-184,
,,0,2023-06-07T10:30:20.87Z,,400,,,-34,,50,70,200,,-5.241756916046143,-2.466439723968506,,-8.291386604309082,-5.264725208282471,-2.9743852615356445,0,3.14107084274292,-9.297370910644531,,35.52291488647461,,-18.952943801879883,278,30.460899353027344,-141.31658935546875,557.6271362304688,,-836
,,0,2023-06-07T10:30:20.886Z,-0.09148591756820679,400,1.3004066944122314,1.664185643196106,-34,187,50,70,200,0.6199918389320374,-5.241756916046143,-2.466439723968506,-13,-8.291386604309082,-5.264725208282471,-2.9743852615356445,0,3.14107084274292,-9.297370910644531,1.544869303703308,35.52291488647461,30,-18.952943801879883,278,30.460899353027344,-141.31658935546875,557.6271362304688,-184,-836
,,0,2023-06-07T10:30:20.918Z,-0.09828570485115051,400,1.296978235244751,1.6660771369934082,-34,194,50,70,200,0.6060013175010681,-5.631356239318848,-2.4460198879241943,-15,-8.87082290649414,-5.656096458435059,-2.97959041595459,0,2.751471757888794,-10.180496215820312,1.5439883470535278,34.721317291259766,34,-19.077722549438477,278,29.690303802490234,-140.14662170410156,557.6271362304688,-190,-836
,,0,2023-06-07T10:30:20.947Z,-0.10526571422815323,400,1.2932422161102295,1.6681081056594849,-34,201,50,70,200,0.5920665264129639,-6.031280994415283,-2.400235652923584,-17,-9.321744918823242,-6.056338310241699,-2.984553098678589,0,2.3515467643737793,-10.684223175048828,1.5430127382278442,33.92291259765625,38,-18.5975341796875,238,28.9752140045166,-137.52337646484375,476.5536804199219,-197,-714
